### QueryPerformanceFrequency = 10000000 Hz ###
3113613754,arrve=,0x000000000001048F, =,, =,, =,, =,, os=,(827 260 311125 0)
3113614662,arrve=,0x00000000000501C9, =,, =,, =,, =,, os=,(827 260 311125 0)
3113615282,arrve=,0x000000000002004B, =,, =,, =,, =,, os=,(827 260 311125 0)
3113615849,arrve=,0x000000000002004D, =,, =,, =,, =,, os=,(827 260 311125 0)
3113616395,arrve=,0x0000000000020051, =,, =,, =,, =,, os=,(827 260 311125 0)
3113616927,arrve=,0x0000000000020053, =,, =,, =,, =,, os=,(827 260 311125 0)
3113617452,arrve=,0x000000000002004F, =,, =,, =,, =,, os=,(827 260 311125 0)
3113617969,arrve=,0x0000000000020055, =,, =,, =,, =,, os=,(827 260 311125 0)
3299864502,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(1040 315 329734 0)
3300477244,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029060900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(1040 315 329796 0)
3300938319,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(1040 315 329843 0)
3301862366,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(1040 315 329937 0)
3301865139,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(1040 315 329953 0)
3303097056,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(1040 315 330062 0)
3303249105,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(1040 315 330078 0)
3304341582,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(1040 315 330187 0)
3304343843,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(1040 315 330187 0)
3305584101,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029060900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(1040 315 330312 0)
3305586622,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(1040 315 330312 0)
3306513549,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(1040 315 330406 0)
3306824143,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(1040 315 330437 0)
3307592997,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(1040 315 330515 0)
3308843588,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(1040 315 330640 0)
3309765921,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029060900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(1040 315 330734 0)
3309916677,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(1040 315 330750 0)
3310835787,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(1040 315 330843 0)
3311146691,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(1040 315 330875 0)
3312375375,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029060900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(1040 315 331000 0)
3312378406,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(1040 315 331000 0)
3313765780,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029060900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(1040 315 331125 0)
3313921924,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(1040 315 331140 0)
3314692147,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(1040 315 331218 0)
3320890462,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(1040 315 331843 0)
3324452005,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029060900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(1040 315 332203 0)
3341331610,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(1040 315 333890 0)
3341483215,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(1040 315 333906 0)
